Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Singh S.K., Yang L.T., Park J.H.","FusionFedBlock: Fusion of blockchain and federated learning to preserve privacy in industry 5.0",2023,"Information Fusion",2,"10.1016/j.inffus.2022.09.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139072277&doi=10.1016%2fj.inffus.2022.09.027&partnerID=40&md5=980e47b6780518ec8bb9a217a7a505ae","Nowadays, Industries are experiencing rapid changes in the digital environment, referred to as Industry 5.0. The Internet of Things (IoT) and advanced technologies are essential in the industrial environment. Technological advancements can collect, transfer, and analyze vast amounts of data in the industry via promising technologies. Still, IoT has various issues when applied to industrial infrastructures, such as centralization, privacy preservation, latency, and security. This article proposes a scheme as FusionFedBlock: Fusion of Blockchain and Federated Learning to Preserve Privacy in Industry 5.0 to address the aforementioned issues. At the federated layer, the industry's departments (Production, Quality Control, Distribution) allow local learning updates with network automation and communicate to the global model, which miners verify in the Blockchain networks. Federated-Learning offers privacy preservation between various mentioned departments in industries. Decentralized secure storage is provided by the Distributed Hash Table (DHT) at the cloud layer. The validation outcomes of the proposed scheme demonstrate excellent performance as the accuracy of 93.5% in a 50% active node for Industry 5.0 compared to existing frameworks. © 2022 Elsevier B.V.","Blockchain; Federated learning; Industrial IoT; Industry 5.0; Information fusion; Privacy-preservation; Security","Digital storage; Internet of things; Learning systems; Advanced technology; Block-chain; Digital environment; Federated learning; Industrial environments; Industrial internet of thing; Industry 5.0; Internet of things technologies; Privacy preservation; Security; Blockchain",Article,"Final","",Scopus,2-s2.0-85139072277
"Kalapaaking A.P., Khalil I., Rahman M.S., Atiquzzaman M., Yi X., Almashor M.","Blockchain-Based Federated Learning With Secure Aggregation in Trusted Execution Environment for Internet-of-Things",2023,"IEEE Transactions on Industrial Informatics",2,"10.1109/TII.2022.3170348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129423568&doi=10.1109%2fTII.2022.3170348&partnerID=40&md5=253bbed6a8f70ff529913afe176e7f8c","This article proposes a blockchain-based federated learning (FL) framework with Intel Software Guard Extension (SGX)-based trusted execution environment (TEE) to securely aggregate local models in Industrial Internet-of-Things (IIoTs). In FL, local models can be tampered with by attackers. Hence, a global model generated from the tampered local models can be erroneous. Therefore, the proposed framework leverages a blockchain network for secure model aggregation. Each blockchain node hosts an SGX-enabled processor that securely performs the FL-based aggregation tasks to generate a global model. Blockchain nodes can verify the authenticity of the aggregated model, run a blockchain consensus mechanism to ensure the integrity of the model, and add it to the distributed ledger for tamper-proof storage. Each cluster can obtain the aggregated model from the blockchain and verify its integrity before using it. We conducted several experiments with different CNN models and datasets to evaluate the performance of the proposed framework. © 2005-2012 IEEE.","Blockchain; deep learning; federated learning (FL); Intel Software Guard Extension (SGX); Internet-of-Things (IoT); secure aggregation; trusted execution environment (TEE)","Blockchain; Data structures; Deep learning; Digital storage; Distributed ledger; Learning algorithms; Learning systems; Block-chain; Collaborative Work; Deep learning; Federated learning; Intel software guard extension; Machine learning algorithms; Machine-learning; Secure aggregations; Trusted execution environments; Internet of things",Article,"Final","",Scopus,2-s2.0-85129423568
"Lakhan A., Mohammed M.A., Nedoma J., Martinek R., Tiwari P., Vidyarthi A., Alkhayyat A., Wang W.","Federated-Learning Based Privacy Preservation and Fraud-Enabled Blockchain IoMT System for Healthcare",2023,"IEEE Journal of Biomedical and Health Informatics",12,"10.1109/JBHI.2022.3165945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128336608&doi=10.1109%2fJBHI.2022.3165945&partnerID=40&md5=ab0fa2a60e50d0cf678dcdf6b45573c9","These days, the usage of machine-learning-enabled dynamic Internet of Medical Things (IoMT) systems with multiple technologies for digital healthcare applications has been growing progressively in practice. Machine learning plays a vital role in the IoMT system to balance the load between delay and energy. However, the traditional learning models fraud on the data in the distributed IoMT system for healthcare applications are still a critical research problem in practice. The study devises a federated learning-based blockchain-enabled task scheduling (FL-BETS) framework with different dynamic heuristics. The study considers the different healthcare applications that have both hard constraint (e.g., deadline) and resource energy consumption (e.g., soft constraint) during execution on the distributed fog and cloud nodes. The goal of FL-BETS is to identify and ensure the privacy preservation and fraud of data at various levels, such as local fog nodes and remote clouds, with minimum energy consumption and delay, and to satisfy the deadlines of healthcare workloads. The study introduces the mathematical model. In the performance evaluation, FL-BETS outperforms all existing machine learning and blockchain mechanisms in fraud analysis, data validation, energy and delay constraints for healthcare applications. © 2022 IEEE.","Blockchain; cloud; federated learning; fog; fraud-analysis; healthcare; IoMT; privacy preservation","Blockchain; Crime; Energy utilization; Fog; Fog computing; Health care; Machine learning; Block-chain; Cloud-computing; Collaborative Work; Federated learning; Fraud-analyse; Healthcare; Internet of medical thing; Medical services; Privacy preservation; Security; Internet of things; article; blockchain; cloud computing; energy consumption; fraud; heuristics; internet of things; learning; machine learning; mathematical model; medical service; privacy; workload",Article,"Final","",Scopus,2-s2.0-85128336608
"Samuel O., Omojo A.B., Onuja A.M., Sunday Y., Tiwari P., Gupta D., Hafeez G., Yahaya A.S., Fatoba O.J., Shamshirband S.","IoMT: A COVID-19 Healthcare System Driven by Federated Learning and Blockchain",2023,"IEEE Journal of Biomedical and Health Informatics",14,"10.1109/JBHI.2022.3143576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123355109&doi=10.1109%2fJBHI.2022.3143576&partnerID=40&md5=477800c454cf1b9d7e315531ceb978b3","Internet of medical things (IoMT) has made it possible to collect applications and medical devices to improve healthcare information technology. Since the advent of the pandemic of coronavirus (COVID-19) in 2019, public health information has become more sensitive than ever. Moreover, different news items incorporated have resulted in differing public perceptions of COVID-19, especially on the social media platform and infrastructure. In addition, the unprecedented virality and changing nature of COVID-19 makes call centres to be likely overstressed, which is due to a lack of authentic and unregulated public media information. Furthermore, the lack of data privacy has restricted the sharing of COVID-19 information among health institutions. To resolve the above-mentioned limitations, this paper is proposing a privacy infrastructure based on federated learning and blockchain. The proposed infrastructure has the potentials to enhance the trust and authenticity of public media to disseminate COVID-19 information. Also, the proposed infrastructure can effectively provide a shared model while preserving the privacy of data owners. Furthermore, information security and privacy analyses show that the proposed infrastructure is robust against information security-related attacks. © 2013 IEEE.","Blockchain; COVID-19; epidemiology; federated learning; information security; reinforcing addition","Blockchain; Data privacy; Diagnosis; Health care; Medical imaging; Medical information systems; Viruses; Block-chain; Call centers; Federated learning; Healthcare systems; Medical diagnostic imaging; Privacy; Reinforcing addition; Security; Systems-driven; COVID-19; adult; article; artificial intelligence; blockchain; data privacy; diagnostic imaging; health care system; human; information security; learning; nonhuman; Severe acute respiratory syndrome coronavirus 2; virus transmission",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85123355109
"Issa W., Moustafa N., Turnbull B., Sohrabi N., Tari Z.","Blockchain-Based Federated Learning for Securing Internet of Things: A Comprehensive Survey",2023,"ACM Computing Surveys",,"10.1145/3560816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147842952&doi=10.1145%2f3560816&partnerID=40&md5=a53edccdbac44877a808a3ad7827f310","The Internet of Things (IoT) ecosystem connects physical devices to the internet, offering significant advantages in agility, responsiveness, and potential environmental benefits. The number and variety of IoT devices are sharply increasing, and as they do, they generate significant data sources. Deep learning (DL) algorithms are increasingly integrated into IoT applications to learn and infer patterns and make intelligent decisions. However, current IoT paradigms rely on centralized storage and computing to operate the DL algorithms. This key central component can potentially cause issues in scalability, security threats, and privacy breaches. Federated learning (FL) has emerged as a new paradigm for DL algorithms to preserve data privacy. Although FL helps reduce privacy leakage by avoiding transferring client data, it still has many challenges related to models' vulnerabilities and attacks. With the emergence of blockchain and smart contracts, the utilization of these technologies has the potential to safeguard FL across IoT ecosystems. This study aims to review blockchain-based FL methods for securing IoT systems holistically. It presents the current state of research in blockchain, how it can be applied to FL approaches, current IoT security issues, and responses to outline the need to use emerging approaches toward the security and privacy of IoT ecosystems. It also focuses on IoT data analytics from a security perspective and the open research questions. It also provides a thorough literature review of blockchain-based FL approaches for IoT applications. Finally, the challenges and risks associated with integrating blockchain and FL in IoT are discussed to be considered in future works. © 2023 Association for Computing Machinery.","Blockchain; deep learning (DL); federated learning (FL); Internet of Things (IoT); security of data analytics","Data Analytics; Data privacy; Deep learning; Digital storage; Ecosystems; Internet of things; Learning algorithms; 'current; Block-chain; Data analytics; Deep learning; Environmental benefits; Federated learning; Internet of thing; Learning approach; Physical devices; Security of data analytic; Blockchain",Article,"Final","",Scopus,2-s2.0-85147842952
"Madni H.A., Umer R.M., Foresti G.L.","Blockchain-Based Swarm Learning for the Mitigation of Gradient Leakage in Federated Learning",2023,"IEEE Access",,"10.1109/ACCESS.2023.3246126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149177407&doi=10.1109%2fACCESS.2023.3246126&partnerID=40&md5=bf16ad077182baf0145778ccd254efd3","Federated Learning (FL) is a machine learning technique in which collaborative and distributed learning is performed, while the private data reside locally on the client. Rather than the data, only gradients are shared among all collaborative nodes with the help of a central server. To ensure the data privacy, the gradients are prone to the deformation, or the representation is perturbed before sharing, ultimately reducing the performance of the model. Recent studies show that the original data can still be recovered using latent space (i.e., gradient leakage problem) by Generative Adversarial Network and different optimization algorithms such as Bayesian and Covariance Matrix Adaptation Evolution Strategy. To address the issues of data privacy and gradient leakage, in this paper, we train deep neural networks by exploiting the blockchain-based Swarm Learning (SL) framework. In the SL scheme, instead of sharing perturbed or noisy gradients to the central server, we share the original gradients among authenticated (i.e., blockchain-based smart contract) training nodes. To demonstrate the effectiveness of the SL approach, we evaluate the proposed approach using the standard CIFAR10 and MNIST benchmark datasets and compare it with the other existing methods. © 2013 IEEE.","Blockchain; data privacy; federated learning; gradient leakage; model privacy; Swarm Learning","Bayesian networks; Covariance matrix; Data privacy; Deep neural networks; Generative adversarial networks; Learning systems; Swarm intelligence; Block-chain; Central servers; Collaborative learning; Distributed learning; Federated learning; Gradient leakage; Machine learning techniques; Model privacy; Private data; Swarm learning; Blockchain",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85149177407
"Rostami S.M., Samet S., Kobti Z.","Objective-Aware Reputation-Enabled Blockchain-Based Federated Learning",2023,"Lecture Notes in Networks and Systems",,"10.1007/978-3-031-21229-1_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148707248&doi=10.1007%2f978-3-031-21229-1_24&partnerID=40&md5=5c1d84560443f671a6a2a5cc81a218c7","Federated Learning (FL) is a distributed-collaborative machine learning framework to overcome the challenges of data silos and data privacy. The conventional FL enhances data owners’ privacy by maintaining their data on devices. However, assuring the quality of data and model verification is challenging since no one contributor can see the others’ data. The problem becomes even more challenging if data is not independent and identically distributed (Non-IID). This study proposes a multi-channel objective-aware validation method to identify valuable contributors to the FL model on a blockchain network with Non-IID data. We implement the proposed system on Hyperledger Fabric by utilizing a multi-layer deep learning model. The evaluation results demonstrate the effectiveness of the proposed approach. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Blockchain; Federated learning; Non-IID; Validation",,Conference Paper,"Final","",Scopus,2-s2.0-85148707248
"Ouyang L., Wang F., Tian Y., Jia X., Qi H., Wang G.","Artificial Identification: A Novel Privacy Framework for Federated Learning Based on Blockchain",2023,"IEEE Transactions on Computational Social Systems",,"10.1109/TCSS.2022.3226861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148477540&doi=10.1109%2fTCSS.2022.3226861&partnerID=40&md5=55eded7d87221f13486b944ff9776fb2","To provide off-chain federations with complete privacy services to realize on-chain federated learning (FL), this article proposes a novel privacy framework for FL based on blockchain and smart contracts, named Artificial Identification. It consists of two modules: private peer-to-peer identification and private FL, using two scalable smart contracts to manage the identification and learning process, respectively. Based on Ethereum and interplenary file systems (IPFS), we implement our framework and comprehensively analyze its performance. Experiments show that the proposed framework has acceptable collaboration costs and offers advantages in terms of privacy, security, and decentralization. Furthermore, combined with radio frequency identification (RFID) technology, the framework has the potential to realize automatic on-chain identification and autonomous FL of machine clusters composed of Internet of Things (IoT) devices or distributed participants. IEEE","Blockchain; federated learning (FL); private identification; radio frequency identification (RFID); smart contracts","Blockchain; Internet of things; Radio frequency identification (RFID); Radio waves; Block-chain; Federated learning; Identification process; Learning process; Peer identification; Peer to peer; Privacy frameworks; Private identification; Radio frequency identification; Radio-frequency-identification; Smart contract",Article,"Article in Press","",Scopus,2-s2.0-85148477540
"Riahi A., Mohamed A., Erbad A.","RL-Based Federated Learning Framework Over Blockchain (RL-FL-BC)",2023,"IEEE Transactions on Network and Service Management",,"10.1109/TNSM.2023.3241437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148445060&doi=10.1109%2fTNSM.2023.3241437&partnerID=40&md5=116cb778828452928dc035c26c4bdf87","Federated learning (FL) paradigms aim to amalgamate diverse data properties stored locally at each user, while preserving data privacy through sharing users&#x2019; learning experiences and iteratively aggregating their local learning models into a global one. However, the majority of FL architectures with centralized cloud do not guarantee the trust in sharing users&#x2019; models, and hence, open the door for slowing and/or contaminating the global learning experience. In this paper, we propose a decentralized Blockchain (BC)-based framework and define a comprehensive protocol for exchanging local models, in order to guarantee users&#x2019; mutual trust while sharing their local learning experiences. We then propose a technique to optimize the global learning experience using Reinforcement Learning (RL), namely RL-FL-BC, to tackle the trade-off between information age of the learning parameters, data skewness (i.e., non-iid), and BC transaction cost (i.e., Ether price). We implement the proposed framework in a realistic containerized environment to facilitate the comparative study of the RL-FL-BC technique with baselines techniques. Our results show the efficacy of the BC-based protocol to facilitate the exchange of both the models&#x2019; and the optimization parameters to guarantee users&#x2019; mutual trust, while improving global learning performance compared to baselines techniques. IEEE","Biological system modeling; Blockchain (BC); Blockchains; Data models; Data privacy; Deep Q Network (DQN); Federated learning; Federated Learning (FL); Internet of Things; Internet of Things (IoT); Machine Learning (ML); Medical services; Reinforcement Learning (RL)","Biological systems; Blockchain; Data privacy; Economic and social effects; Internet of things; Iterative methods; Biological system modeling; Block-chain; Blockchain; Deep Q network; Federated learning; Internet of thing; Machine learning; Machine-learning; Medical services; Reinforcement learning; Reinforcement learnings; Reinforcement learning",Article,"Article in Press","",Scopus,2-s2.0-85148445060
"Zhang J., Liu Y., Qin X., Xu X., Zhang P.","Adaptive Resource Allocation for Blockchain-based Federated Learning in Internet of Things",2023,"IEEE Internet of Things Journal",,"10.1109/JIOT.2023.3241318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148431458&doi=10.1109%2fJIOT.2023.3241318&partnerID=40&md5=3bebcfd10e7ffd7b08b51eb0f08ce3a2","The fast development of mobile communication and artificial intelligence (AI) technologies greatly promotes the prosperity of the Internet of Things (IoT), where various types of IoT devices can perform more intelligent tasks. Considering the privacy leakage and limited communication resources, federated learning (FL) has emerged to enable devices to collaboratively train AI models based on their local data without raw data exchanges. Nevertheless, it is still challenging for guaranteeing any FL models to be effective due to the sluggish willingness of IoT devices and the model poisoning attacks in the FL. To address these issues, in this paper, we introduce blockchain technology and propose a blockchain-based FL framework for supporting a trustworthy and reliable FL paradigm in IoT. In the proposed framework, we design a committee-based participant selection mechanism that selects the aggregate node and local model updates dynamically to construct the global model. Moreover, considering the trade-off between the energy consumption and the convergence rate of the FL model, we perform the channel allocation, block size adjustment, and block producer selection jointly. Since the remaining resources, handling transactions, and channel conditions are dynamically varying (i.e., stochastic environment), we formulate the problem as a Markov decision process (MDP) and adopt a deep reinforcement learning (DRL)-based algorithm to solve it. The simulation results demonstrate the effectiveness of the proposed framework and show the superior performance of the DRL-based resource allocation algorithm compared with other baseline methods in terms of energy consumption. IEEE","blockchain; Blockchains; Data models; deep reinforcement learning; federated learning; Internet of Things; Internet of Things; Performance evaluation; resource allocation; Resource management; Servers; Training","Blockchain; Deep learning; Economic and social effects; Electronic data interchange; Energy utilization; Information management; Internet of things; Learning algorithms; Markov processes; Reinforcement learning; Stochastic systems; Block-chain; Deep reinforcement learning; Energy-consumption; Federated learning; Learning models; Performances evaluation; Reinforcement learnings; Resource management; Resources allocation; Resource allocation",Article,"Article in Press","",Scopus,2-s2.0-85148431458
"Gebremariam G.G., Panda J., Indu S.","Blockchain-Based Secure Localization against Malicious Nodes in IoT-Based Wireless Sensor Networks Using Federated Learning",2023,"Wireless Communications and Mobile Computing",,"10.1155/2023/8068038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148109261&doi=10.1155%2f2023%2f8068038&partnerID=40&md5=48e140ea05e9e0e44656a14335be1963","Wireless sensor networks are the core of the Internet of Things and are used in healthcare, locations, the military, and security. Threats to the security of wireless sensor networks built on the Internet of Things (IoT-WSNs) can come from a variety of sources. This study proposes secure attack localization and detection in IoT-WSNs to improve security and service delivery. The technique used blockchain-based cascade encryption and trust evaluation in a hierarchical design to generate blockchain trust values before beacon nodes broadcast data to the base station. Simulation results reveal that cascading encryption and feature assessment measure the trust value of nodes by rewarding each other for service provisioning and trust by removing malicious nodes that reduce localization accuracy and quality of service in the network. Federated machine learning improves data security and transmission by merging raw device data and placing malicious threats in the blockchain. Malicious nodes are classified through federated learning. Federated learning combines hybrid random forest, gradient boost, ensemble learning, K-means clustering, and support vector machine approaches to classify harmful nodes via a feature assessment process. Comparing the proposed system to current ones shows an average detection and classification accuracy of 100% for binary and 99.95% for multiclass. This demonstrates that the suggested approach works well for large-scale IoT-WSNs, both in terms of performance and security, when utilizing heterogeneous wireless senor networks for the providing of secure services. © 2023 Gebrekiros Gebreyesus Gebremariam et al.",,"Cryptography; Internet of things; K-means clustering; Network security; Quality of service; Sensor nodes; Support vector machines; Attack detection; Attack localization; Block-chain; Cascade encryptions; Malicious nodes; Secure localization; Security of wireless sensor networks; Service delivery; Trust evaluation; Trust values; Blockchain",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85148109261
